epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7327,2.15869,4.10747,1.93353,0.00621,0.10974,0.01455,0.01037,1.34602,4.03762,1.36168,0,0,0
2,14.4272,2.06724,4.08956,1.82315,0.00805,0.10601,0.01723,0.01237,1.34635,4.03853,1.36449,9.9802e-06,9.9802e-06,9.9802e-06
3,15.5974,2.19548,4.1182,1.92078,0.01131,0.10217,0.01908,0.01446,1.34414,4.03927,1.36686,1.99208e-05,1.99208e-05,1.99208e-05
4,17.0747,2.12954,4.10829,1.89166,0.0154,0.09996,0.01736,0.01324,1.34114,4.04263,1.36751,2.98218e-05,2.98218e-05,2.98218e-05
5,18.0829,2.14711,4.06523,1.93877,0.01652,0.09446,0.01996,0.01587,1.33977,4.04447,1.3691,3.96832e-05,3.96832e-05,3.96832e-05
6,18.9549,2.19976,4.07775,1.9357,0.01895,0.11003,0.02193,0.01534,1.34601,4.028,1.35173,4.9505e-05,4.9505e-05,4.9505e-05
7,19.855,2.20522,4.08334,1.9423,0.01939,0.12598,0.02383,0.01817,1.36489,4.0025,1.33956,5.92872e-05,5.92872e-05,5.92872e-05
8,20.7529,2.13271,4.02181,1.86871,0.02115,0.13155,0.02449,0.01884,1.37869,3.98764,1.32269,6.90298e-05,6.90298e-05,6.90298e-05
9,21.62,2.02802,3.9238,1.77363,0.02685,0.13531,0.02903,0.02138,1.39181,3.97659,1.30973,7.87328e-05,7.87328e-05,7.87328e-05
10,22.5185,1.94607,3.88439,1.71687,0.02992,0.14847,0.03227,0.02365,1.42543,3.96201,1.30843,8.83962e-05,8.83962e-05,8.83962e-05
11,23.3994,1.83293,3.77711,1.64302,0.02543,0.16229,0.0373,0.0269,1.45273,3.9614,1.30549,9.802e-05,9.802e-05,9.802e-05
12,24.2953,1.9118,3.77329,1.63436,0.02348,0.17001,0.03955,0.02623,1.47706,3.95875,1.30241,0.000107604,0.000107604,0.000107604
13,25.1798,1.99796,3.78218,1.64179,0.02122,0.18657,0.03989,0.02579,1.51609,3.95072,1.31689,0.000117149,0.000117149,0.000117149
14,26.0597,1.9547,3.68053,1.63653,0.01855,0.18344,0.03959,0.02609,1.54745,3.94755,1.33553,0.000126654,0.000126654,0.000126654
15,26.9731,1.95668,3.61913,1.56787,0.01834,0.21297,0.04258,0.02731,1.55504,3.93609,1.33957,0.000136119,0.000136119,0.000136119
16,27.8784,1.89643,3.56833,1.57737,0.01871,0.24679,0.04452,0.02941,1.55282,3.91832,1.33815,0.000145545,0.000145545,0.000145545
17,28.7916,2.01233,3.56453,1.62178,0.02186,0.29817,0.04795,0.03071,1.55932,3.89266,1.3447,0.000154931,0.000154931,0.000154931
18,29.6884,1.92373,3.47557,1.56132,0.02301,0.33583,0.05371,0.03333,1.57061,3.86719,1.35261,0.000164278,0.000164278,0.000164278
19,30.6181,1.97567,3.45413,1.56793,0.02371,0.35652,0.05786,0.03637,1.585,3.8444,1.36937,0.000173585,0.000173585,0.000173585
20,31.5262,1.95676,3.34206,1.57909,0.02414,0.36829,0.06079,0.03697,1.61167,3.83179,1.39169,0.000182852,0.000182852,0.000182852
21,32.4075,1.86889,3.3508,1.51827,0.02405,0.35973,0.06087,0.03712,1.59955,3.82413,1.39708,0.00019208,0.00019208,0.00019208
22,33.3398,1.93678,3.30273,1.54993,0.02412,0.35704,0.06132,0.03723,1.5736,3.81511,1.3875,0.000201268,0.000201268,0.000201268
23,34.2309,2.0038,3.27792,1.58282,0.02417,0.35846,0.06182,0.03751,1.55206,3.81216,1.38848,0.000210417,0.000210417,0.000210417
24,35.16,1.90688,3.17833,1.50334,0.02335,0.33338,0.06079,0.03785,1.54023,3.80773,1.39137,0.000219526,0.000219526,0.000219526
25,36.0827,1.9522,3.17588,1.5477,0.02457,0.34831,0.06432,0.03871,1.55898,3.80908,1.41044,0.000228595,0.000228595,0.000228595
26,36.994,1.89185,3.10031,1.51673,0.02471,0.34594,0.06628,0.04105,1.58598,3.81644,1.43828,0.000237625,0.000237625,0.000237625
27,37.8904,2.07493,3.16538,1.56421,0.0244,0.34319,0.06923,0.04334,1.59395,3.82122,1.44759,0.000246615,0.000246615,0.000246615
28,38.856,1.94311,3.0158,1.47449,0.02438,0.34932,0.07214,0.04511,1.59634,3.8015,1.42603,0.000255566,0.000255566,0.000255566
29,39.7127,2.01861,3.03864,1.54036,0.02332,0.33894,0.07252,0.04535,1.63786,3.80017,1.43844,0.000264477,0.000264477,0.000264477
30,40.5911,2.03076,2.9227,1.53465,0.02282,0.34034,0.07691,0.04429,1.67868,3.82979,1.46893,0.000273348,0.000273348,0.000273348
31,41.4922,1.9146,2.88822,1.50639,0.02326,0.34489,0.08127,0.04881,1.67167,3.83064,1.46938,0.00028218,0.00028218,0.00028218
32,42.3596,1.95595,2.87176,1.50541,0.02187,0.32609,0.08188,0.05101,1.6737,3.83539,1.49646,0.000290972,0.000290972,0.000290972
33,43.2659,1.90885,2.80337,1.46496,0.02196,0.31979,0.08624,0.0543,1.70751,3.84119,1.54189,0.000299725,0.000299725,0.000299725
34,44.1764,1.9247,2.74934,1.45273,0.02299,0.33423,0.08978,0.0567,1.71544,3.81258,1.54163,0.000308438,0.000308438,0.000308438
35,45.0846,1.94912,2.74111,1.49448,0.02405,0.35052,0.0989,0.05762,1.76628,3.80535,1.55497,0.000317111,0.000317111,0.000317111
36,46.0309,1.88542,2.66186,1.46079,0.02353,0.33885,0.09797,0.05392,1.82724,3.81501,1.58495,0.000325745,0.000325745,0.000325745
37,47.186,1.85856,2.61964,1.44813,0.0248,0.36446,0.10405,0.05974,1.79966,3.75942,1.54048,0.000334339,0.000334339,0.000334339
38,48.1674,1.92581,2.51099,1.41989,0.02592,0.38527,0.10836,0.06416,1.74642,3.69045,1.45265,0.000342894,0.000342894,0.000342894
39,49.1591,1.89238,2.61668,1.45241,0.02705,0.3848,0.10491,0.05942,1.76073,3.66771,1.42921,0.000351409,0.000351409,0.000351409
40,50.0561,1.75541,2.36736,1.38102,0.02831,0.38926,0.1115,0.06273,1.77447,3.65948,1.43858,0.000359884,0.000359884,0.000359884
41,51.0728,1.85304,2.54076,1.42203,0.02867,0.39717,0.11781,0.0627,1.85072,3.66387,1.48534,0.00036832,0.00036832,0.00036832
42,51.9822,1.83916,2.40234,1.42814,0.02957,0.39949,0.12008,0.06391,1.84733,3.64698,1.47874,0.000376716,0.000376716,0.000376716
43,52.9063,1.8654,2.40446,1.42527,0.03007,0.4059,0.12061,0.0666,1.84754,3.61838,1.46538,0.000385073,0.000385073,0.000385073
44,53.8024,1.70608,2.27511,1.34386,0.03081,0.41627,0.12531,0.07416,1.78896,3.58131,1.43478,0.00039339,0.00039339,0.00039339
45,54.768,1.72958,2.21742,1.34935,0.0325,0.43171,0.1405,0.08558,1.76363,3.56601,1.44685,0.000401667,0.000401667,0.000401667
46,55.67,1.68058,2.16151,1.34867,0.03412,0.43726,0.14869,0.08382,1.85574,3.57324,1.5192,0.000409905,0.000409905,0.000409905
47,56.5556,1.68839,2.19986,1.38256,0.035,0.4335,0.15226,0.0834,1.88399,3.56989,1.53974,0.000418103,0.000418103,0.000418103
48,57.4822,1.74765,2.11717,1.36775,0.0371,0.44124,0.15424,0.08942,1.78576,3.53246,1.471,0.000426262,0.000426262,0.000426262
49,58.3868,1.70255,2.14743,1.38185,0.03759,0.43948,0.16683,0.0997,1.70731,3.4978,1.42295,0.000434381,0.000434381,0.000434381
50,59.2819,1.66301,2.09627,1.35503,0.03878,0.45252,0.1744,0.11274,1.57896,3.45064,1.34582,0.00044246,0.00044246,0.00044246
51,60.2002,1.61956,2.09715,1.33072,0.03859,0.45261,0.18669,0.129,1.50944,3.40459,1.30424,0.0004505,0.0004505,0.0004505
52,61.0993,1.58704,1.99173,1.31729,0.03976,0.46505,0.1978,0.13266,1.55761,3.37128,1.32959,0.0004585,0.0004585,0.0004585
53,62.0604,1.71656,2.04286,1.34204,0.03975,0.45866,0.20022,0.11999,1.69097,3.38397,1.41567,0.000466461,0.000466461,0.000466461
54,62.9973,1.64039,1.95671,1.29329,0.03932,0.45045,0.20014,0.11896,1.71173,3.37795,1.45543,0.000474382,0.000474382,0.000474382
55,63.891,1.65289,1.98972,1.31113,0.04025,0.45667,0.20668,0.12575,1.68741,3.38086,1.47217,0.000482263,0.000482263,0.000482263
56,64.7739,1.63205,1.97921,1.31792,0.04068,0.45922,0.20536,0.13234,1.63169,3.36999,1.44664,0.000490105,0.000490105,0.000490105
57,65.6658,1.55027,1.87817,1.28427,0.04202,0.46843,0.20306,0.1335,1.61351,3.35206,1.42486,0.000497907,0.000497907,0.000497907
58,66.6195,1.6511,1.95139,1.30883,0.04619,0.48486,0.20344,0.12941,1.62125,3.31851,1.39375,0.00050567,0.00050567,0.00050567
